NiWAyP66DUU,2020-02-06T22:19:14.000Z
v-YlJirsTzA,2020-02-05T23:27:29.000Z
TOVBvQufbs0,2020-02-04T22:58:06.000Z
T5PKXaMpKzo,2020-02-03T22:37:47.000Z
FdlXGRTPDfY,2020-01-30T22:40:31.000Z
ZhGQ-AlEKsw,2020-01-29T22:00:22.000Z
rse0UZmA_vU,2020-01-28T22:15:07.000Z
HECCrJRw_JE,2020-01-27T22:57:50.000Z
LnrJVeWDU10,2020-01-23T22:05:13.000Z
24f7RpjmLk4,2020-01-22T22:37:00.000Z
RBTFPXKcoGQ,2020-01-21T22:15:42.000Z
nJAS7O-sIQs,2020-01-20T22:00:04.000Z
ueTSgPfCLXw,2019-12-19T23:26:18.000Z
n7tLCqcjWBs,2019-12-18T22:45:18.000Z
0LQ-GreJUbE,2019-12-17T22:10:14.000Z
Oqe8UCrfpFw,2019-12-16T22:15:13.000Z
SUh6NbEWg0w,2019-12-12T23:45:11.000Z
u4DKKDS4k20,2019-12-11T23:05:07.000Z
WivbXnD4AKY,2019-12-10T22:39:34.000Z
vE1iPDBc-iM,2019-12-09T22:40:20.000Z
iXwvuvikCJk,2019-12-05T22:48:52.000Z
e-HsNLVNT5I,2019-12-04T22:30:12.000Z
iZ-mZQgHHds,2019-12-03T22:50:24.000Z
rJDgqhPwZ4g,2019-12-02T22:41:57.000Z
rgCIs8KOL7c,2019-11-21T23:03:40.000Z
3iA-upAuvDc,2019-11-20T23:19:19.000Z
7h2FAcJdzic,2019-11-19T22:56:19.000Z
N0MgHSMDALU,2019-11-18T22:32:40.000Z
FZbSxNzdlbs,2019-11-14T23:18:21.000Z
UxxyHcpoV0Q,2019-11-13T23:20:56.000Z
jf4Z25vd7Ac,2019-11-12T22:41:02.000Z
vhJXgYV2c-I,2019-11-11T22:26:38.000Z
-_S81NoYZ3M,2019-11-07T23:08:08.000Z
3uukFIvhAzg,2019-11-06T22:41:52.000Z
YbbZhxzUsB8,2019-11-05T22:56:35.000Z
xYQCS1Fi6Wo,2019-11-04T22:20:00.000Z
G4qm8T74C74,2019-10-31T21:18:48.000Z
ur5B_jXQ3EM,2019-10-30T21:29:16.000Z
6UdENV1GeB0,2019-10-29T21:03:09.000Z
ovpVWuuUgJg,2019-10-28T21:25:30.000Z
YuYr19xpe3I,2019-10-24T21:02:03.000Z
qgStEpwHGCw,2019-10-23T21:16:33.000Z
uKkrAo7ktRE,2019-10-22T21:14:39.000Z
GT3hz03eL6I,2019-10-21T21:04:39.000Z
XnXhqR2xYPk,2019-10-17T21:50:50.000Z
NcQBXr3Za1c,2019-10-16T21:30:56.000Z
BDjjQfSrZG4,2019-10-15T21:42:05.000Z
qkEFPWPjcQs,2019-10-10T22:32:14.000Z
77RvIHJ106A,2019-10-09T21:01:38.000Z
FS8GdCniQ6s,2019-10-08T22:01:24.000Z
OU_BuTcmpjw,2019-10-07T22:13:54.000Z
Pw0vrGBjQ9s,2019-10-03T21:14:40.000Z
FoOwdMolFo4,2019-10-02T21:03:52.000Z
8mECmN9MDLM,2019-10-01T21:25:18.000Z
JCB6DyYBCTE,2019-09-30T21:01:55.000Z
G-Q4bM6vFnE,2019-09-26T21:31:05.000Z
mO7jrWAamVA,2019-09-25T22:12:32.000Z
S3zDMf12u-Y,2019-09-24T21:42:10.000Z
4vXtc0rDbnw,2019-09-23T22:22:23.000Z
_zgTxn1csA4,2019-09-19T21:54:15.000Z
Mvflt0sSnC4,2019-09-18T21:44:17.000Z
V4QguLXEfgg,2019-09-17T21:39:29.000Z
rj-eJ1HqD0s,2019-09-16T21:45:20.000Z
t02TzRKxO-A,2019-09-12T21:51:28.000Z
Gb1kkxYNC3s,2019-09-11T21:10:40.000Z
wjfj12vWTdM,2019-09-10T21:34:35.000Z
vcGfLZpSSyA,2019-09-09T21:41:24.000Z
yFzizT0kXv0,2019-09-05T21:09:25.000Z
Dnq6qsz2Io0,2019-09-04T21:07:19.000Z
D4crzZTaxNY,2019-09-03T21:10:16.000Z
0Q6scIkcM5M,2019-08-29T21:09:11.000Z
R-Vu6AmeKr4,2019-08-28T22:08:53.000Z
U56Uimuw5Ac,2019-08-27T21:20:44.000Z
4FdOwNNpY58,2019-08-26T21:25:15.000Z
NhcqGb5D6wM,2019-08-22T21:19:40.000Z
bPq28nKaELk,2019-08-21T21:24:55.000Z
A0vpmwzhCrI,2019-08-20T21:07:24.000Z
kBFO7vrVUWg,2019-08-19T21:31:57.000Z
oUFLv8bthGo,2019-08-15T21:11:42.000Z
upNgmcT-t2E,2019-08-14T21:09:13.000Z
Meyw_bWwmGQ,2019-08-13T21:55:54.000Z
WyONIOIvP44,2019-08-12T21:42:24.000Z
ggqMOfdK0jw,2019-08-08T21:50:01.000Z
lTKoPj7avCs,2019-08-07T21:29:19.000Z
qUY1xcpq_X8,2019-08-06T21:00:06.000Z
pYD3fQ4XbTw,2019-08-05T21:49:37.000Z
uLWhVn14Nk4,2019-08-01T21:08:13.000Z
QmznFSYQW6k,2019-07-31T21:29:02.000Z
58xF6v1DpQo,2019-07-30T21:00:03.000Z
HLNiI-LENNs,2019-07-29T21:23:42.000Z
Mokzxd303h4,2019-07-25T22:28:25.000Z
-JiPTmvYBPM,2019-07-24T21:37:21.000Z
y44v1WwpWpE,2019-07-23T22:37:32.000Z
_SYTDPlNFkQ,2019-07-22T21:20:09.000Z
IAuattkzjT8,2019-07-18T21:43:19.000Z
6CYap1xJ1oE,2019-07-17T22:05:04.000Z
QjkM9eltY-4,2019-07-16T21:34:24.000Z
7K6MD2jE7c8,2019-07-15T21:39:02.000Z
akd2wgQalD0,2019-07-11T21:02:45.000Z
L9y6KEB3lEE,2019-07-10T21:41:09.000Z
e3CIlMgp2FM,2019-07-09T21:46:58.000Z
41q5Ky1cexM,2019-07-08T21:04:06.000Z
vPnN5hwIg9U,2019-07-05T19:16:06.000Z
